time;WOB;DRG;BRS;DSSA;RPM;TOB;GPM;WOH;HHT;BIT_DEPTH;DEPTH;SLP;ECD;SPP;STS;ROP;AZT;DSSB;APR;PDF;SPD;BEM;AVL;HBD;TMP;depth_touch;bit_to_depth;label
1602777563;0;;;;0;0;49,38;99,25;1,8;1790,2;3541,63;;;3,42;;0;;;;;;;;1790,2;;0;1751,43;*
1602777591;0;;;;0;0;54,3;99,83;1,8;1790,23;3541,63;;;4,69;;0;;;;;;;;1790,23;;0;1751,4;*
1602777611;0;;;;0;0;54,3;100,37;1,8;1790,24;3541,63;;;3,79;;0;;;;;;;;1790,24;;0;1751,39;*
1602777631;0;;;;0,01;0;56,75;100,33;1,8;1790,23;3541,63;;;5,51;;0;;;;;;;;1790,23;;0;1751,4;*
1602777651;0;;;;0,01;0;59,31;100,02;1,8;1790,25;3541,63;;;0;;0;;;;;;;;1790,25;;0;1751,38;*
1602777671;0;;;;0,01;0;59,31;99,34;1,8;1790,35;3541,63;;;7,46;;0;;;;;;;;1790,35;;0;1751,28;*
1602777691;0;;;;0;0;59,32;100,17;1,8;1790,3;3541,63;;;6,68;;0;;;;;;;;1790,3;;0;1751,33;*
1602777711;0;;;;0;0;59,31;99,83;1,8;1790,29;3541,63;;;4,14;;0;;;;;;;;1790,29;;0;1751,34;*
1602777731;0;;;;0;0;59,32;99,76;1,8;1790,23;3541,63;;;4,81;;0;;;;;;;;1790,23;;0;1751,4;*
1602777751;0;;;;0;0;74,17;98,97;1,8;1790,22;3541,63;;;2,16;;0;;;;;;;;1790,22;;0;1751,41;*
1602777780;0;;;;0;0;74,18;100,7;1,8;1790,35;3541,63;;;5,94;;0;;;;;;;;1790,35;;0;1751,28;*
1602777800;0;;;;0;0;74,16;99,5;1,8;1790,22;3541,63;;;3,56;;0;;;;;;;;1790,22;;0;1751,41;*
1602777820;0;;;;0;0;74,17;99,84;1,8;1790,23;3541,63;;;3,97;;0;;;;;;;;1790,23;;0;1751,4;*
1602777840;0;;;;0;0;74,17;99,11;1,8;1790,27;3541,63;;;3,21;;0;;;;;;;;1790,27;;0;1751,36;*
1602777860;0;;;;0,01;0;74,17;99,9;1,8;1790,32;3541,63;;;4,11;;0;;;;;;;;1790,32;;0;1751,31;*
